testfall_id,stufe,domaene,avg_score_gesamt,anforderungstext
TC018,1,Kindertagesstätte,0.401,"Eine Kindertagesstaette moechte ihre Kinder, Gruppen und Betreuungspersonen verwalten. Von jedem Kind sollen Vorname, Nachname, Geburtsdatum, Aufnahmedatum und besondere Hinweise festgehalten werden. Jedes Kind gehoert genau zu einer Gruppe. Fuer jede Gruppe werden Name, Altersbereich und der Gruppenraum gespeichert. Betreuungspersonen arbeiten jeweils fest in genau einer Gruppe. Von ihnen werden Vorname, Nachname, Telefonnummer, Einstellungsdatum und ob sie aktuell aktiv sind erfasst. Eine Gruppe kann mehrere Kinder und mehrere Betreuungspersonen haben. Es soll ausserdem nachvollziehbar sein, wer die Leitung einer Gruppe ist. Jede Gruppe hat genau eine Leitung, und diese Leitung ist immer eine der Betreuungspersonen dieser Gruppe."
TC009,1,Reinigung,0.635,"Ein Reinigungsbetrieb möchte seine regelmäßigen Einsätze übersichtlich verwalten. Für jeden Kunden sollen der Name, die Telefonnummer, die E-Mail-Adresse und die Anschrift gespeichert werden. Jeder Kunde kann mehrere Einsatzorte haben, zum Beispiel Wohnung, Büro oder Praxis. Zu jedem Einsatzort sollen eine Bezeichnung, die genaue Adresse und ein Hinweis zur Zugänglichkeit festgehalten werden. Für jeden durchgeführten Reinigungseinsatz soll dokumentiert werden, an welchem Tag er stattgefunden hat, zu welchem Einsatzort er gehörte, welcher Status vorliegt und welche Notizen das Reinigungsteam hinterlassen hat. Jeder Reinigungseinsatz gehört immer genau zu einem Einsatzort, und jeder Einsatzort gehört immer genau zu einem Kunden."
TC023,1,Schreibwarengeschäft,0.665,"Ein Schreibwarengeschaeft moechte seine Artikel, die Hersteller und die Verkaeufe uebersichtlich erfassen. Zu jedem Hersteller sollen der Name, eine E-Mail-Adresse und eine Telefonnummer gespeichert werden. Jeder Artikel stammt genau von einem Hersteller. Von jedem Artikel werden die Bezeichnung, eine kurze Beschreibung, der Verkaufspreis und der aktuelle Lagerbestand benoetigt. Ausserdem soll festgehalten werden, ob ein Artikel derzeit aktiv verkauft wird. Wenn etwas verkauft wird, soll fuer jeden einzelnen Verkauf das Verkaufsdatum, die verkaufte Menge und der damals berechnete Einzelpreis gespeichert werden. Jeder Verkauf bezieht sich genau auf einen Artikel. Ein Hersteller kann viele Artikel liefern, und ein Artikel kann in vielen einzelnen Verkaeufen vorkommen."
TC045,2,Personalverwaltung,0.442,"Für ein mittelständisches Unternehmen soll eine Übersicht über die Belegschaft aufgebaut werden. Von allen Mitarbeitenden sollen die üblichen persönlichen Angaben und das Eintrittsdatum festgehalten werden. Jede Person gehört organisatorisch zu genau einem Bereich, wobei für jeden Bereich nachvollziehbar sein soll, wer ihn leitet. Da Stellen im Unternehmen unterschiedlich ausgestaltet sein können, soll außerdem hinterlegt werden, welche Funktion jemand grundsätzlich hat, etwa in Verwaltung, Technik oder Vertrieb.

Mitarbeitende können im Laufe der Zeit an mehreren Projekten mitwirken, und in einem Projekt arbeiten in der Regel mehrere Personen zusammen. Dabei soll sichtbar sein, seit wann jemand in einem Projekt dabei ist und welche Aufgabe er dort übernimmt. Die Aufgabe kann je nach Projekt unterschiedlich sein. Projekte selbst sollen mit Bezeichnung, geplanter Laufzeit und Budget erfasst werden.

Zusätzlich soll dokumentiert werden, welche Fortbildungen angeboten werden und welche Mitarbeitenden daran teilnehmen. Nicht jede Schulung ist für jede Funktion gleich relevant, aber es soll zumindest festgehalten werden, wer wann an welcher Fortbildung teilgenommen hat. Bereiche sollen einerseits als organisatorische Einheiten sichtbar sein, andererseits auch für Auswertungen nach Verantwortungsbereich dienen."
TC047,2,Ticketsystem,0.511,"Für unseren internen Helpdesk soll eine Lösung entstehen, mit der Störungen und Serviceanfragen aus verschiedenen Firmenbereichen nachvollziehbar bearbeitet werden können. Mitarbeitende melden Anliegen und geben dabei eine kurze Zusammenfassung, eine genauere Beschreibung sowie an, wie dringend das Problem aus ihrer Sicht ist. Jedes Anliegen gehört zu einem Bereich wie IT, Gebäudeservice oder Personal. Außerdem soll festgehalten werden, in welchem Bearbeitungsstand sich ein Vorgang gerade befindet, etwa neu, in Arbeit oder erledigt.

Ein Anliegen kann im Laufe der Bearbeitung mehreren zuständigen Personen zugeordnet sein, zum Beispiel weil jemand übernimmt und später ein Spezialist dazukommt. Zu jedem Vorgang sollen interne Notizen möglich sein, damit Bearbeitungsschritte dokumentiert werden. Diese Notizen stammen jeweils von einer bestimmten zuständigen Person.

Für Auswertungen möchten wir sehen, wer ein Anliegen gemeldet hat, wann es erstellt wurde und ob es bereits abgeschlossen ist. Manche Bereiche arbeiten mit eigenen Dringlichkeitsstufen, die Bezeichnungen sollen aber systemweit einheitlich auswertbar bleiben. Wenn ein Anliegen erledigt wurde, soll auch erkennbar sein, wann das passiert ist. Es reicht, die eigentliche Kommunikation innerhalb eines Vorgangs in Form dieser internen Notizen abzubilden."
TC048,2,Kundendienst,0.548,"Ein Unternehmen moechte seinen Kundendienst besser organisieren. Es soll festgehalten werden, welche Personen oder Firmen sich mit einem Anliegen melden, wie man sie erreichen kann und seit wann sie als Kunde gefuehrt werden. Zu jedem Anliegen soll erfasst werden, wann es eingegangen ist, worum es geht, wie dringend es ist und in welchem Bearbeitungsstand es sich befindet. Manche Anliegen beziehen sich auf ein bestimmtes Geraet oder Produkt, das der Kunde nutzt. Dabei reicht es nicht, nur den allgemeinen Produktnamen zu kennen, weil bei Rueckfragen oft die genaue Seriennummer wichtig ist. Im Service arbeiten mehrere Mitarbeiter mit unterschiedlichen Faehigkeiten. Je nach Thema sollen passende Mitarbeiter eingesetzt werden koennen, und ein Anliegen kann im Laufe der Bearbeitung auch von mehreren Mitarbeitern begleitet werden. Zu Dokumentationszwecken sollen ausserdem die Fachgebiete der Mitarbeiter gepflegt werden. Wenn ein Anliegen geloest wurde, soll die gefundene Antwort oder Massnahme gespeichert werden, ebenso der Zeitpunkt der Loesung. Nicht jedes Anliegen ist sofort abgeschlossen. Auswertungen sollen spaeter zum Beispiel zeigen, welche Produktarten besonders haeufig Probleme verursachen und welche Mitarbeiter oft an bestimmten Themen beteiligt sind."
TC074,3,Rechtskanzlei,0.455,"Wir brauchen eine Lösung für eine mittelgroße Rechtsanwaltskanzlei mit mehreren Dezernaten, damit Mandate, Beteiligte und Fristen sauber nachgehalten werden. Zu jedem Mandat soll erkennbar sein, worum es geht, wann es eröffnet wurde, in welchem Rechtsgebiet es liegt und ob es noch aktiv ist. Ein Mandat kann von einer einzelnen Person kommen, manchmal aber auch von einer Firma oder einer Erbengemeinschaft; in der Praxis reden trotzdem alle einfach vom Mandanten. Häufig gibt es auf Gegenseite ebenfalls mehrere Beteiligte, etwa natürliche Personen, Gesellschaften oder Behörden. Außerdem soll festgehalten werden, welcher Anwalt federführend ist; andere Berufsträger oder wissenschaftliche Mitarbeiter arbeiten oft mit, gelegentlich auch nur für bestimmte Termine oder Schriftsätze.

Für jedes Mandat fallen Aktenvermerke, Dokumente und Gerichtstermine an. Bei Dokumenten wäre gut, wenn man Art, Titel, Eingangs- oder Erstellungsdatum und bei Bedarf eine kurze Bemerkung hinterlegen kann. Nicht immer ist klar, ob ein Schriftstück nur intern relevant ist oder offiziell zum Vorgang gehört. Bei Gerichtsterminen möchten wir wissen, wann und wo sie stattfinden, ob es sich um Verhandlung, Güteversuch oder Beweisaufnahme handelt und wer von uns teilnimmt. Ein Termin kann sich auch verschieben; ob dafür eine neue Erfassung nötig ist oder nur der bestehende Eintrag geändert wird, ist offen.

Wichtig sind außerdem Fristen, weil es Vorfristen und eigentliche Fristen gibt. Manche beziehen sich auf ein bestimmtes Dokument, andere eher allgemein auf das Mandat. Zuständig ist oft ein Anwalt, manchmal aber auch das Sekretariat. Zusätzlich möchten wir Gegenseite, Gerichte und Rechtsschutzversicherungen erfassen, soweit vorhanden. Bei Rechnungen reicht es zunächst, wenn man Datum, Betrag, Status und Bezug zum Mandat sieht; ob eine Rechnung an den Mandanten, die Rechtsschutzversicherung oder ausnahmsweise an Dritte geht, sollte abbildbar sein. Nicht jedes Mandat landet vor Gericht, aber wenn doch, sollen Aktenzeichen und Instanz nachvollziehbar bleiben."
TC083,3,Börsenverwaltung,0.516,"Für unsere Börsenverwaltung sollen Wertpapiergeschäfte und die dazugehörigen Stammdaten nachvollziehbar erfasst werden. Wir verwalten mehrere Depots von Kunden. Ein Kunde kann nach unserem Verständnis ein Privatkunde oder auch eine Firma sein; teilweise laufen Depots aber auf mehrere Personen, etwa Ehepartner oder bei einer Vermögensverwaltung. Für die tägliche Arbeit ist wichtig, dass man sieht, bei welcher Bank oder welchem Broker ein Depot geführt wird und in welcher Basiswährung das Depot normalerweise betrachtet wird.

Gehandelt werden verschiedene Finanzinstrumente wie Aktien, Anleihen, Fonds und ETFs. Die Fachabteilung spricht oft einfach von Titeln oder Papieren. Zu jedem Instrument sollen Kennungen wie ISIN und gegebenenfalls ein Börsenkürzel festgehalten werden. Manche Papiere werden an mehreren Handelsplätzen notiert, und je Handelsplatz können unterschiedliche Kürzel oder Handelswährungen vorkommen. Außerdem möchten wir wissen, zu welchem Emittenten ein Papier gehört; bei Fonds ist das nicht immer ganz so eindeutig, weil dort manchmal die Gesellschaft, manchmal die Fondshülle gemeint ist.

Geschäfte sollen mit Handelsdatum, Abwicklungstag, Stückzahl und Preis erfasst werden. Es gibt Käufe und Verkäufe, vereinzelt auch Kapitalmaßnahmen, aber zunächst reichen die normalen Orders. Ob wir Teilausführungen als einzelne Vorgänge oder unter einer gemeinsamen Order sehen, ist im Fachbereich noch nicht ganz einheitlich. Gebühren und Steuern sollen ebenfalls nachvollziehbar sein, entweder einzeln oder zumindest als Summen pro Geschäft. Für Auswertungen braucht das Controlling außerdem die Zuordnung zu einem Händler oder Berater, wobei nicht immer klar ist, wer bei telefonisch erteilten Aufträgen maßgeblich ist.

Zusätzlich sollen Kursstände je Papier und Handelsplatz mit Datum gespeichert werden. Für Kundenberichte möchten wir auch festhalten, welche Instrumente in welchen Depots aktuell oder historisch gehalten wurden. Ob das aus den Geschäften abgeleitet wird oder separat gepflegt werden soll, ist offen, die Historie soll aber verlässlich auswertbar sein."
TC088,3,Internationale Handelsverwaltung,0.533,"Wir brauchen eine Lösung für die Verwaltung unseres internationalen Handelsgeschäfts. Wir arbeiten mit Lieferanten aus verschiedenen Ländern und verkaufen an Geschäftskunden in mehreren Absatzmärkten. Zu jeder Firma sollen die üblichen Stammdaten gepflegt werden, außerdem Ansprechpartner, weil es in der Praxis oft Einkauf, Verkauf oder Zollabwicklung auf unterschiedliche Personen verteilt. Ein Ansprechpartner kann sich im Tagesgeschäft auch mal um mehrere Themen kümmern, und manchmal ist dieselbe Person für mehrere Niederlassungen zuständig.

Unsere Waren werden als Artikel mit interner Nummer geführt. Für den Außenhandel sind Warengruppe, Ursprungsland und die Zolltarifnummer wichtig. Je nach Land oder Kunde können Artikel in verschiedenen Währungen angeboten werden, wobei Preise sich im Zeitverlauf ändern. Nicht immer ist klar, ob wir alte Preisstände überschreiben oder historisch behalten müssen, grundsätzlich wäre die Nachvollziehbarkeit aber hilfreich.

Es gibt Bestellungen an Lieferanten und Aufträge von Kunden. Beide durchlaufen einen Status, zum Beispiel angelegt, bestätigt, teilweise geliefert oder abgeschlossen. Zu den Vorgängen wollen wir Positionen mit Menge, Einzelpreis und gegebenenfalls Rabatten erfassen. Bei Auslandsgeschäften müssen wir außerdem Incoterms, bevorzugte Transportart und relevante Dokumente wie Handelsrechnung, Packliste oder Ursprungszeugnis im Blick behalten. Manche Dokumente gelten für den gesamten Vorgang, andere eher für einzelne Positionen, das ist fachlich nicht immer sauber getrennt.

Da wir in verschiedene Länder liefern und aus verschiedenen Ländern beziehen, möchten wir Sendungen ebenfalls erfassen. Eine Sendung kann sich auf einen oder mehrere Vorgänge beziehen, wobei im Alltag oft einfach gesagt wird, dass alles zu einer Lieferung gehört. Für Auswertungen brauchen wir Währung, Zahlungsbedingung und möglichst auch die Information, in welches Land geliefert oder aus welchem Land bezogen wurde. Ob das immer direkt aus Firma, Vorgang oder Sendung kommen soll, ist offen."
TC095,3,Kulturerbe-Inventarsystem,0.567,"Ein Museum mit Depot und wechselnden Leihgaben braucht eine zentrale Erfassung fuer seine Kulturguter. Es geht nicht nur um einzelne Objekte wie Gemaelde, Skulpturen, Handschriften oder archaologische Funde, sondern auch um zusammengehoerige Konvolute. Zu jedem Inventareintrag sollen die ueblichen Dinge festgehalten werden, also Inventarnummer, Titel bzw. Bezeichnung, Objektart, Kurzbeschreibung, Material, Masse, Datierung und der Erhaltungszustand. Bei der Datierung ist oft nur ein Zeitraum, manchmal nur eine ungefaehre Angabe wie „spaetes 18. Jahrhundert“ bekannt. Manche Objekte bestehen aus mehreren Materialien, und dieselbe Materialbezeichnung soll natuerlich nicht staendig neu geschrieben werden.

Wichtig ist auch die Provenienz. Es soll nachvollziehbar bleiben, aus welcher Sammlung oder welchem Vorbesitz ein Objekt stammt und ueber welchen Zugang es ins Haus gekommen ist, etwa Ankauf, Schenkung, Grabung oder Dauerleihgabe. Zu einem Objekt gibt es haeufig mehrere beteiligte Personen oder Koerperschaften, zum Beispiel Kuenstler, Werkstatt, Hersteller, Vorbesitzer, Stifter oder Finder. Nicht immer ist klar, ob jemand sicher zugeordnet ist oder nur zugeschrieben wird. Ebenso koennen Orte eine Rolle spielen, etwa Herstellungsort, Fundort oder aktueller Aufbewahrungsort.

Fuer die konservatorische Arbeit sollen Zustandspruefungen und Massnahmen dokumentiert werden, inklusive Datum, verantwortlicher Fachkraft und freiem Bericht. Ob dabei jedes Mal der Zustand des Gesamtobjekts oder auch einzelner Teile beschrieben wird, ist noch nicht ganz entschieden. Ausserdem sollen Standorte im Haus und im Depot abbildbar sein; gelegentlich wandern Objekte zwischen Magazin, Ausstellung und Restaurierung. Fuer Ausstellungen moechte man festhalten, welche Objekte wann gezeigt wurden. Bei Leihvorgaengen nach aussen oder von externen Gebern sollen Leihgeber bzw. Leihnehmer, Zeitraum und Versicherungswert dokumentiert werden. Bilder und andere digitale Unterlagen wie Gutachten oder Korrespondenz sollten ebenfalls einem Eintrag zugeordnet werden koennen, eventuell auch mehreren, falls ein Dokument ein ganzes Konvolut betrifft."
